time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
11/1/2015 13:40,22,0.121182586,0.004728437,0.072368421,0.085134128,0.020162854,0.464851095,0.463892898,0.047765304,0,0,0,85,600,0,0,0,0,0,0,0
11/1/2015 13:50,22,0.121507472,0.004683205,0.072368421,0.097242921,0.020841411,0.470006672,0.468123227,0.056767634,0,0,0,0,600,0,0,0,0,0,0,0
11/1/2015 14:00,22,0.125730994,0.008795797,0.086622807,0.094076006,0.025882125,0.46193971,0.461504006,0.042681635,0,0,0,267,600,0,0,0,0,0,0,0
11/1/2015 14:10,22,0.124106563,0.005539125,0.067982456,0.089977645,0.02210159,0.47219021,0.469914896,0.060580386,0,0,0,15,600,0,0,0,0,0,0,0
11/1/2015 14:20,22,0.161793372,0.038467694,0.08004386,0.114754098,0.070473052,0.457148056,0.457572289,0.034314764,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 14:30,22,0.190383366,0.083038168,0.075657895,0.135804769,0.139298178,0.449505671,0.451301448,0.020970133,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 14:40,22,0.182910981,0.076162973,0.070175439,0.125186289,0.128732067,0.450233517,0.451898671,0.022241051,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 14:50,22,0.19005848,0.090995442,0.072368421,0.124068554,0.151609151,0.44853521,0.450505151,0.019275577,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:00,22,0.205977908,0.117511569,0.073464912,0.148472429,0.192613416,0.446715594,0.449012094,0.016098284,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:10,22,0.205328135,0.114672419,0.072368421,0.1335693,0.188348197,0.44665494,0.448962325,0.015992374,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:20,22,0.208252112,0.120594273,0.069078947,0.147168405,0.197072509,0.446715594,0.449012094,0.016098284,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:30,22,0.199155296,0.108312167,0.078947368,0.131520119,0.178460644,0.447625402,0.449758622,0.017686931,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:40,22,0.187459389,0.082773738,0.074561404,0.136549925,0.13891043,0.449445017,0.45125168,0.020864224,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 15:50,22,0.177712801,0.064747225,0.064692982,0.115312966,0.110992633,0.452720325,0.453939183,0.026583351,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:00,22,0.18128655,0.070474235,0.08004386,0.122019374,0.120007755,0.45168921,0.453093117,0.024782885,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:10,22,0.190383366,0.091179848,0.073464912,0.12071535,0.151899961,0.448171286,0.45020654,0.018640119,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:20,22,0.188434048,0.08725862,0.076754386,0.126862891,0.14588988,0.449384363,0.451201911,0.020758314,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:30,22,0.182586095,0.069371281,0.065789474,0.114195231,0.118359829,0.451567902,0.45299358,0.024571065,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:40,22,0.178037687,0.05958387,0.0625,0.114008942,0.103043815,0.453994056,0.454984323,0.028807456,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 16:50,22,0.183560754,0.075209631,0.073464912,0.122205663,0.127278015,0.451022017,0.452545663,0.023617878,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:00,22,0.179012346,0.061500992,0.070175439,0.124441133,0.106145793,0.45326621,0.4543871,0.027536539,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:10,22,0.159194282,0.039873352,0.069078947,0.110469449,0.072605661,0.45720871,0.457622057,0.034420674,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:20,22,0.145549058,0.017177551,0.072368421,0.102272727,0.037514541,0.458239825,0.458468123,0.03622114,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:30,22,0.16374269,0.044953203,0.083333333,0.113077496,0.080554478,0.455995633,0.456626686,0.032302478,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:40,22,0.18388564,0.076375213,0.076754386,0.126117735,0.129022877,0.450840056,0.452396357,0.023300148,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 17:50,22,0.197530864,0.097508785,0.066885965,0.127608048,0.161787515,0.44744344,0.449609317,0.017369201,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:00,22,0.200779727,0.109498626,0.063596491,0.128539493,0.180205506,0.446715594,0.449012094,0.016098284,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:10,22,0.202729045,0.116662607,0.063596491,0.127608048,0.191256301,0.446836902,0.449111631,0.016310104,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:20,22,0.208901884,0.130931422,0.067982456,0.135804769,0.213260954,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:30,22,0.186809617,0.080202498,0.066885965,0.125558867,0.134936022,0.44980894,0.451550291,0.021499682,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:40,22,0.193632229,0.095783028,0.066885965,0.131892697,0.159073284,0.447504094,0.449659085,0.017475111,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 18:50,22,0.207602339,0.124379806,0.059210526,0.124627422,0.203179527,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:00,22,0.196881092,0.097477471,0.065789474,0.119970194,0.161690578,0.447140171,0.449360474,0.016839653,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:10,22,0.211176088,0.136432274,0.07127193,0.132451565,0.220143466,0.446715594,0.449012094,0.016098284,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:20,22,0.194606888,0.103454995,0.061403509,0.1164307,0.171093447,0.446836902,0.449111631,0.016310104,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:30,22,0.19785575,0.106955221,0.064692982,0.125,0.176328034,0.446897556,0.449161399,0.016416014,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:40,22,0.19525666,0.102282454,0.065789474,0.126117735,0.169251648,0.447261479,0.449460011,0.017051472,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 19:50,22,0.201104613,0.112316899,0.074561404,0.125,0.184373788,0.447322133,0.44950978,0.017157382,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:00,22,0.218973359,0.147614906,0.064692982,0.132824143,0.236913532,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:10,22,0.245938921,0.249845169,0.095394737,0.154247392,0.338018612,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:20,22,0.256335283,0.26863018,0.082236842,0.167660209,0.35895696,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:30,22,0.24691358,0.23961588,0.086622807,0.160022355,0.333365646,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:40,22,0.249837557,0.239163564,0.065789474,0.152757079,0.332880962,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 20:50,22,0.2417154,0.215545736,0.058114035,0.138971684,0.311457929,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 21:00,22,0.248862898,0.246331025,0.089912281,0.1609538,0.337727801,0.446594286,0.448912557,0.015886465,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 21:10,22,0.236842105,0.13822414,0.132675439,0.165424739,0.181756495,0.754412567,0.699248495,0.564075408,0.003938801,0.012778909,0.009027095,269,267,333,0,0,0,0,0,0
